web_scraper_order,web_scraper_start_url,pagination,data,photo,item_page_title,item_page_link,Color_Number,Color_Description,Natural_Finished,whole_article_number,image
"1777650576-2534","https://catalog.preciosa-ornela.com/catalog-beads#","","08386","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08386.webp?v=1774867244","08386
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2160","08386","yellow terra pearl dyed crystal","finished","Pearl","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08386.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650578-2535","https://catalog.preciosa-ornela.com/catalog-beads#","","08358","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08358.webp?v=1774867244","08358
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2159","08358","green terra pearl dyed crystal","finished","Pearl","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08358.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650580-2536","https://catalog.preciosa-ornela.com/catalog-beads#","","08349","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08349.webp?v=1774867244","08349
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2158","08349","grey terra pearl dyed crystal","finished","Pearl","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08349.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650583-2537","https://catalog.preciosa-ornela.com/catalog-beads#","","08336","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08336.webp?v=1774867244","08336
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2157","08336","blue terra pearl dyed crystal","finished","Pearl","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08336.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650585-2538","https://catalog.preciosa-ornela.com/catalog-beads#","","08328","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08328.webp?v=1774867244","08328
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2156","08328","violet terra pearl dyed crystal","finished","Pearl","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08328.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650587-2539","https://catalog.preciosa-ornela.com/catalog-beads#","","08318","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08318.webp?v=1774867244","08318
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2155","08318","brown terra pearl dyed crystal","finished","Pearl","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-08318.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650590-2540","https://catalog.preciosa-ornela.com/catalog-beads#","","07603","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-07603.webp?v=1774867244","07603
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2154","07603","pink dyed chalkwhite,  sfinx","finished","Sfinx","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-07603.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650592-2541","https://catalog.preciosa-ornela.com/catalog-beads#","","07403","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-07403.webp?v=1774867244","07403
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2153","07403","pink dyed chalkwhite,  rainbow","finished","Rainbow","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-07403.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650594-2542","https://catalog.preciosa-ornela.com/catalog-beads#","","03191","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03191.webp?v=1774867244","03191
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2152","03191","red 2 dyed chalkwhite","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03191.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
"1777650597-2543","https://catalog.preciosa-ornela.com/catalog-beads#","","03181","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03181.webp?v=1774867244","03181
                                3.2/6.5mm
                                321-93001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/2151","03181","yellow 2 dyed chalkwhite","finished","Solgel Dyed","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/321-93001-3.2x6.5mm-03181.webp?v=1774867244
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/321-93001-Farfalle-RH.webp?v=1752045438"
